player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Jean-Sebastien Giguere,G,1500000,2011-12,-0.0669,60000000,44000000,525000,COL,32.0,69.0,70.21,1.2,0.04,0.957,0.957,0.001,0.919,2.28,2.32,0.04,0.2,1819.0,0.039,0.038,0.001,204.0,200.14,3.86,0.0,781.0,1553.0,0.20370000000000002,0.524,0.5294,-0.0053,0.976,0.971,0.005,0.888,0.881,0.007,0.607,0.681,-0.075,20.0
Braden Holtby,G,1850000,2011-12,-0.0669,60000000,44000000,525000,WSH,7.0,15.0,17.09,2.1,0.349,0.957,0.951,0.006,0.922,2.5,2.84,0.35,0.35,360.0,0.042,0.038,0.004,37.0,42.48,-5.48,-0.03,177.0,336.0,0.2041,0.547,0.5359,0.0111,0.975,0.974,0.001,0.872,0.871,0.001,0.737,0.639,0.098,15.0
Michal Neuvirth,G,2500000,2011-12,-0.0669,60000000,44000000,525000,WSH,38.0,95.0,76.03,-19.0,-0.57,0.948,0.959,-0.01,0.903,2.85,2.28,-0.57,-3.16,2000.0,0.024,0.037,-0.013,249.0,220.89,28.11,0.03,881.0,1739.0,0.205,0.5322,0.5306000000000001,0.0016,0.965,0.972,-0.007,0.86,0.884,-0.024,0.558,0.673,-0.115,15.0
Joey MacDonald,G,925000,2011-12,-0.0669,60000000,44000000,525000,DET,14.0,29.0,30.04,1.0,0.074,0.954,0.952,0.002,0.912,2.16,2.24,0.08,0.17,805.0,0.035,0.04,-0.005,71.0,78.57,-7.57,-0.02,301.0,595.0,0.1822,0.5288,0.5598,-0.031,0.994,0.974,0.02,0.851,0.883,-0.032,0.536,0.657,-0.122,8.0
Jimmy Howard,G,5291666,2011-12,-0.0669,60000000,44000000,525000,DET,57.0,119.0,131.39,12.4,0.221,0.956,0.951,0.005,0.92,2.12,2.35,0.22,2.06,3360.0,0.033,0.04,-0.007,337.0,323.32,13.68,0.01,1377.0,2567.0,0.19920000000000002,0.557,0.5428999999999999,0.013999999999999999,0.974,0.971,0.003,0.892,0.878,0.014,0.655,0.637,0.017,8.0
Ben Bishop,G,2300000,2011-12,-0.0669,60000000,44000000,525000,OTT,10.0,22.0,19.27,-2.7,-0.305,0.949,0.955,-0.006,0.909,2.48,2.17,-0.31,-0.46,531.0,0.042,0.04,0.002,45.0,51.93,-6.93,-0.03,221.0,407.0,0.19510000000000002,0.5664,0.5403,0.0262,0.957,0.974,-0.017,0.904,0.882,0.022,0.684,0.658,0.026,16.0
Peter Budaj,G,1400000,2011-12,-0.0669,60000000,44000000,525000,MTL,17.0,44.0,42.09,-1.9,-0.11,0.956,0.958,-0.002,0.913,2.55,2.44,-0.11,-0.32,1036.0,0.027,0.037,-0.009,92.0,117.16,-25.16,-0.05,464.0,952.0,0.2151,0.51,0.5158,-0.0058,0.973,0.971,0.002,0.868,0.885,-0.017,0.667,0.692,-0.026,28.0
Steve Mason,G,1500000,2011-12,-0.0669,60000000,44000000,525000,CBJ,46.0,143.0,102.11,-40.9,-0.969,0.937,0.955,-0.018,0.894,3.39,2.42,-0.97,-6.82,2533.0,0.035,0.039,-0.003,219.0,282.19,-63.19,-0.05,1212.0,2141.0,0.1912,0.5932999999999999,0.5508,0.0424,0.963,0.972,-0.01,0.801,0.88,-0.079,0.596,0.67,-0.074,30.0
Mike Smith,G,5666666,2012-13,0.0717,64300000,47500000,525000,ARI,34.0,84.0,82.68,-1.3,-0.04,0.953,0.954,-0.001,0.91,2.58,2.54,-0.04,-0.22,1955.0,0.036,0.039,-0.003,194.0,210.51,-16.51,-0.02,854.0,1701.0,0.20739999999999997,0.5255,0.5283,-0.0028000000000000004,0.97,0.971,-0.001,0.88,0.88,-0.0,0.692,0.691,0.002,19.0
Jhonas Enroth,G,1250000,2012-13,0.0717,64300000,47500000,525000,BUF,12.0,27.0,24.82,-2.2,-0.212,0.955,0.959,-0.004,0.919,2.6,2.39,-0.21,-0.36,623.0,0.037,0.038,-0.001,63.0,77.09,-14.09,-0.04,305.0,572.0,0.18280000000000002,0.5543,0.5466,0.0076,0.962,0.972,-0.01,0.908,0.878,0.03,0.625,0.672,-0.047,22.0
