player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,icetime,expected_goals,goals,assists,points,primary_assists,secondary_assists,shifts,share_of_possible_icetime,pct_of_shift_starts_in_offensive_zone,pct_of_shift_starts_in_neutral_zone,pct_of_shift_starts_in_defensive_zone,pct_of_shift_starts_on_fly,hits,pim,pim_drawn,pim_differential,shots_blocked_by_player,shots_blocked_by_player_per_60,takeaways,giveaways,defensive_zone_giveaways,faceoff_win_pct,goals_above_expected,expected_goals_per_60_minutes,goals_per_60_minutes,assists_per_60_minutes,points_per_60_minutes,shots_on_goal_per_60_minutes,shot_attempts_per_60_minutes,shooting_pct,shooting_pct_on_unblocked_shots,expected_shooting_pct_on_unblocked_shots,shooting_pct_on_unblocked_shots_above_expected,shot_attempts,shots_on_goal,shots_that_missed_net,shots_that_were_blocked,pct_of_unblocked_shots_that_missed_net,expected_pct_of_unblocked_shots_that_missed_net,net_miss_pct_above_expected,high_danger_unblocked_shot_attempts,medium_danger_unblocked_shot_attempts,low_danger_unblocked_shot_attempts,high_danger_xgoals,medium_danger_xgoals,low_danger_xgoals,on-ice_shot_attempt_pct_(corsi),on-ice_unblocked_shot_attempt_pct_(fenwick),on-ice_goals_pct,on-ice_expected_goals_pct,off-ice_expected_goals_pct,relative_expected_goals_pct,on-ice_score_adjusted_expected_goals_pct,on-ice_score/flurry_adjusted_expected_goals_pct,on-ice_expected_goals_against_per_60_minutes,on-ice_shot_attempts_against_per_60_minutes,on-ice_high_danger_shot_attempts_against_per_60_minutes,flurry_adjusted_xgoals,on-ice_goal_differential,on-ice_expected_goals_differential,rebounds_created,xrebounds_created,rebounds_created_above_expected,xgoals_on_rebounds_shots,share_of_xgoals_from_rebounds_shots,xgoals_from_non_rebounds,xgoals_of_expected_rebounds,created_xgoals,created_xgoals_minus_actual_xgoals,shooting_talent_above_average,shooting_talent_adjusted_expected_goals,goals_above_shooting_talent,final_standing
Kevin Shattenkirk,D,6650000,2016-17,0.0274,75000000,55400000,650000,WSH,79.0,1574.0,8.6,13.0,41.0,54.0,20.0,21.0,1996.0,0.32899999999999996,0.195,0.145,0.084,0.5760000000000001,86.0,47.0,11.0,36.0,93.0,3.54,36.0,40.0,27.0,0.0,4.4,0.33,0.5,1.56,2.06,5.98,11.85,0.083,0.062,0.038,0.024,311.0,157.0,54.0,100.0,0.256,0.318,-0.062,6.0,14.0,191.0,2.66,1.83,4.09,0.58,0.59,0.591,0.569,0.466,0.10300000000000001,0.569,0.568,2.31,42.76,2.36,8.4,28.0,19.4,9.0,9.5,-0.5,0.1,0.016,8.4,2.2,10.7,2.1,0.1,9.4,3.6,1.0
Adam Clendening,D,650000,2016-17,0.0274,75000000,55400000,650000,NYR,31.0,490.0,1.4,2.0,9.0,11.0,2.0,7.0,658.0,0.262,0.20800000000000002,0.14,0.053,0.599,22.0,17.0,13.0,4.0,27.0,3.31,7.0,20.0,12.0,0.0,0.6,0.17,0.24,1.1,1.35,4.65,10.77,0.053,0.035,0.018000000000000002,0.017,88.0,38.0,19.0,31.0,0.33299999999999996,0.33299999999999996,0.0,1.0,0.0,56.0,0.32,0.0,1.04,0.59,0.58,0.575,0.578,0.475,0.10300000000000001,0.569,0.5760000000000001,2.04,43.58,1.35,1.3,6.0,6.1,4.0,2.1,1.9,0.0,0.0,1.4,0.5,1.9,0.5,-0.113,1.2,0.8,9.0
Joe Morrow,D,650000,2016-17,0.0274,75000000,55400000,650000,BOS,17.0,263.0,0.7,0.0,1.0,1.0,1.0,0.0,340.0,0.254,0.174,0.147,0.065,0.615,29.0,8.0,4.0,4.0,19.0,4.32,1.0,7.0,5.0,0.0,-0.7,0.16,0.0,0.23,0.23,4.32,8.87,0.0,0.0,0.0,0.0,39.0,19.0,11.0,9.0,0.36700000000000005,0.33299999999999996,0.033,0.0,2.0,28.0,0.0,0.24,0.47,0.51,0.51,0.33299999999999996,0.486,0.603,-0.11699999999999999,0.484,0.486,2.14,53.65,1.82,0.7,-4.0,-0.5,1.0,1.1,-0.1,0.0,0.0,0.7,0.2,0.9,0.2,-0.078,0.7,-0.7,15.0
Trevor Daley,D,3166666,2016-17,0.0274,75000000,55400000,650000,PIT,56.0,1141.0,5.3,5.0,14.0,19.0,6.0,8.0,1577.0,0.335,0.11,0.153,0.166,0.5710000000000001,29.0,37.0,25.0,12.0,83.0,4.36,20.0,18.0,15.0,0.0,-0.2,0.28,0.26,0.74,1.0,4.42,8.2,0.06,0.043,0.043,0.0,156.0,84.0,33.0,39.0,0.282,0.308,-0.026000000000000002,3.0,14.0,100.0,1.19,1.65,2.41,0.45,0.46,0.496,0.47700000000000004,0.535,-0.057999999999999996,0.47600000000000003,0.478,3.18,66.19,2.68,5.1,-1.0,-5.4,6.0,5.2,0.8,0.7,0.128,4.6,1.1,5.7,0.4,0.085,5.7,-0.7,4.0
Ron Hainsey,D,3000000,2016-17,0.0274,75000000,55400000,650000,PIT,72.0,1586.0,3.7,4.0,13.0,17.0,8.0,5.0,1925.0,0.36200000000000004,0.11599999999999999,0.16399999999999998,0.141,0.579,93.0,21.0,17.0,4.0,120.0,4.54,25.0,47.0,35.0,0.0,0.3,0.14,0.15,0.49,0.64,2.69,7.04,0.055999999999999994,0.037000000000000005,0.027999999999999997,0.009000000000000001,186.0,71.0,38.0,77.0,0.349,0.33,0.018000000000000002,2.0,4.0,103.0,0.98,0.43,2.27,0.46,0.45,0.396,0.498,0.5489999999999999,-0.051,0.5,0.498,2.87,61.39,2.27,3.6,-28.0,-0.5,6.0,4.1,1.9,0.1,0.024,3.6,0.9,4.5,0.8,0.0,3.7,0.3,4.0
Cam Fowler,D,6500000,2016-17,0.0274,75000000,55400000,650000,ANA,80.0,1987.0,8.7,11.0,28.0,39.0,12.0,16.0,2258.0,0.409,0.139,0.184,0.179,0.49700000000000005,29.0,20.0,14.0,6.0,134.0,4.04,30.0,68.0,50.0,0.0,2.3,0.26,0.33,0.85,1.18,5.61,11.23,0.059000000000000004,0.044000000000000004,0.032,0.012,372.0,186.0,62.0,124.0,0.25,0.319,-0.069,4.0,11.0,233.0,1.72,1.42,5.6,0.51,0.51,0.547,0.5329999999999999,0.508,0.025,0.534,0.5329999999999999,2.7,56.44,2.14,8.5,18.0,12.7,19.0,11.7,7.3,0.3,0.037000000000000005,8.4,2.7,11.1,2.4,0.062,9.3,1.7,7.0
Francois Beauchemin,D,1700000,2016-17,0.0274,75000000,55400000,650000,COL,80.0,1716.0,5.0,4.0,13.0,17.0,8.0,5.0,2123.0,0.35600000000000004,0.099,0.127,0.171,0.602,72.0,30.0,14.0,16.0,155.0,5.42,27.0,46.0,38.0,0.0,-1.0,0.17,0.14,0.45,0.59,4.58,9.54,0.031,0.022000000000000002,0.022000000000000002,0.0,273.0,131.0,54.0,88.0,0.292,0.33,-0.038,3.0,3.0,179.0,1.33,0.37,3.29,0.44,0.44,0.348,0.42200000000000004,0.46399999999999997,-0.042,0.41600000000000004,0.42200000000000004,3.09,62.09,2.87,4.2,-49.0,-23.8,1.0,7.4,-6.3,0.3,0.057999999999999996,4.7,1.5,6.2,1.2,0.04,5.2,-1.2,21.0
Nate Schmidt,D,2225000,2016-17,0.0274,75000000,55400000,650000,WSH,60.0,928.0,3.5,3.0,14.0,17.0,6.0,8.0,1188.0,0.255,0.125,0.14,0.08,0.6559999999999999,51.0,16.0,8.0,8.0,37.0,2.39,36.0,44.0,34.0,0.0,-0.5,0.22,0.19,0.9,1.1,3.88,8.98,0.05,0.033,0.033,0.0,139.0,60.0,32.0,47.0,0.348,0.326,0.022000000000000002,0.0,11.0,81.0,0.0,1.22,2.23,0.52,0.51,0.636,0.529,0.48100000000000004,0.048,0.537,0.531,2.31,51.17,1.68,3.4,21.0,4.5,4.0,4.1,-0.1,0.3,0.078,3.2,0.8,4.0,0.5,-0.233,2.6,0.4,1.0
Jamie Oleksiak,D,964688,2016-17,0.0274,75000000,55400000,650000,DAL,41.0,664.0,1.5,5.0,2.0,7.0,0.0,2.0,895.0,0.268,0.10099999999999999,0.145,0.136,0.618,51.0,37.0,27.0,10.0,53.0,4.78,13.0,27.0,26.0,0.0,3.5,0.14,0.45,0.18,0.63,2.98,6.05,0.152,0.111,0.022000000000000002,0.08900000000000001,67.0,33.0,12.0,22.0,0.267,0.33299999999999996,-0.067,0.0,4.0,41.0,0.0,0.56,0.97,0.47,0.48,0.40399999999999997,0.444,0.488,-0.044000000000000004,0.445,0.447,3.04,61.48,3.52,1.5,-11.0,-6.7,2.0,2.1,0.0,0.3,0.21600000000000003,1.2,0.4,1.6,0.1,-0.20800000000000002,1.2,3.8,2.0
Brett Pesce,D,4025000,2016-17,0.0274,75000000,55400000,650000,CAR,82.0,1738.0,4.2,2.0,18.0,20.0,7.0,11.0,2062.0,0.348,0.109,0.17,0.152,0.569,57.0,20.0,24.0,-4.0,148.0,5.11,55.0,34.0,26.0,0.0,-2.2,0.15,0.07,0.62,0.69,3.76,9.25,0.018000000000000002,0.012,0.024,-0.012,268.0,109.0,55.0,104.0,0.335,0.32299999999999995,0.012,0.0,8.0,156.0,0.0,0.86,3.38,0.51,0.51,0.545,0.54,0.527,0.013000000000000001,0.539,0.537,2.4,52.24,1.83,4.1,14.0,12.0,13.0,6.6,6.4,0.2,0.035,4.1,1.4,5.4,1.2,-0.084,3.9,-1.9,18.0
